Calculation: 92000000, x = 0.000000, y = 0.000000
Calculation: 90000000, x = 0.000000, y = 0.000000
Calculation: 93000000, x = 0.000000, y = 0.000000
Calculation: 91000000, x = 0.000000, y = 0.000000
Calculation: 94000000, x = 0.000000, y = 0.000000
Calculation: 95000000, x = 0.000000, y = 0.000000
Calculation: 92000000, x = 0.000000, y = 0.000000
Calculation: 96000000, x = 0.000000, y = 0.000000
Calculation: 93000000, x = 0.000000, y = 0.000000
Calculation: 97000000, x = 0.000000, y = 0.000000
Calculation: 94000000, x = 0.000000, y = 0.000000
Calculation: 98000000, x = 0.000000, y = 0.000000
Calculation: 95000000, x = 0.000000, y = 0.000000
Calculation: 99000000, x = 0.000000, y = 0.000000
Calculation: 96000000, x = 0.000000, y = 0.000000
Calculation: 100000000, x = 0.000000, y = 0.000000
Calculation: 97000000, x = 0.000000, y = 0.000000
Calculation: 98000000, x = 0.000000, y = 0.000000
Calculation: 99000000, x = 0.000000, y = 0.000000
Calculation: 100000000, x = 0.000000, y = 0.000000
